Simulation Number,Total Cells Percentage,Total Empty Cells Percentage,Total Trees Percentage,Total Trees On Fire Percentage
658,10000,43.91,34.28,21.81
659,10000,43.34,34.55,22.11
660,10000,43.68,33.71,22.61
661,10000,44.32,33.97,21.709999999999997
662,10000,44.1,34.63,21.27
663,10000,43.39,35.15,21.46
664,10000,43.480000000000004,34.1,22.42
665,10000,44.17,33.77,22.06
666,10000,44.080000000000005,34.31,21.61
667,10000,44.09,33.87,22.040000000000003
668,10000,43.96,34.19,21.85
669,10000,44.06,34.39,21.55
670,10000,43.29,34.39,22.32
671,10000,44.019999999999996,33.629999999999995,22.35
672,10000,43.94,34.58,21.48
673,10000,43.55,34.1,22.35
674,10000,44.04,33.95,22.009999999999998
675,10000,44.03,33.92,22.05
676,10000,44.03,34.19,21.78
677,10000,43.65,34.74,21.61
678,10000,42.980000000000004,35.23,21.790000000000003
679,10000,43.37,34.160000000000004,22.470000000000002
680,10000,44.64,33.19,22.17
681,10000,44.21,34.47,21.32
682,10000,43.09,35.120000000000005,21.790000000000003
683,10000,43.45,34.14,22.41
684,10000,44.72,33.12,22.16
685,10000,44.09,34.47,21.44
686,10000,43.519999999999996,35.010000000000005,21.47
687,10000,43.01,35.15,21.84
688,10000,43.15,34.02,22.830000000000002
689,10000,44.43,33.44,22.13
690,10000,43.919999999999995,34.589999999999996,21.490000000000002
691,10000,43.2,34.72,22.08
692,10000,43.6,34.39,22.009999999999998
693,10000,43.29,34.8,21.91
694,10000,43.24,35.11,21.65
695,10000,43.51,33.93,22.56
696,10000,44.6,33.72,21.68
697,10000,43.99,34.48,21.529999999999998
698,10000,44.05,33.81,22.14
699,10000,44.46,34.050000000000004,21.490000000000002
700,10000,43.49,34.849999999999994,21.66
701,10000,42.99,35.35,21.66
702,10000,43.6,33.78,22.62
703,10000,43.830000000000005,34.19,21.98
704,10000,43.64,35.19,21.17
705,10000,43.2,34.54,22.259999999999998
706,10000,43.4,33.82,22.78
707,10000,44.64,33.76,21.6
708,10000,44.25,34.22,21.529999999999998
709,10000,43.4,34.93,21.67
710,10000,42.620000000000005,35.199999999999996,22.18
711,10000,43.29,34.35,22.36
712,10000,44.05,33.58,22.37
713,10000,44.7,33.22,22.08
714,10000,44.21,34.39,21.4
715,10000,43.76,34.56,21.68
716,10000,43.669999999999995,34.02,22.31
717,10000,43.69,34.48,21.83
718,10000,44.32,33.83,21.85
719,10000,43.45,34.56,21.990000000000002
720,10000,43.75,34.13,22.12
721,10000,43.3,34.64,22.06
722,10000,43.34,34.72,21.94
723,10000,44.529999999999994,33.54,21.93
