Simulation Number,Total Cells Percentage,Total Empty Cells Percentage,Total Trees Percentage,Total Trees On Fire Percentage
346,10000,38.82,35.64,25.540000000000003
347,10000,38.440000000000005,35.92,25.64
348,10000,39.07,34.62,26.31
349,10000,39.34,35.08,25.580000000000002
350,10000,38.42,35.949999999999996,25.629999999999995
351,10000,38.79,35.15,26.06
352,10000,37.96,36.3,25.740000000000002
353,10000,38.080000000000005,35.57,26.35
354,10000,38.62,35.31,26.07
355,10000,38.98,35.19,25.83
356,10000,39.78,34.73,25.490000000000002
357,10000,38.62,36.17,25.21
358,10000,38.26,35.97,25.77
359,10000,38.16,35.370000000000005,26.47
360,10000,39.18,34.410000000000004,26.41
361,10000,39.0,35.65,25.35
362,10000,38.76,35.38,25.86
363,10000,38.97,34.870000000000005,26.16
364,10000,39.09,35.46,25.45
365,10000,38.95,35.31,25.740000000000002
366,10000,38.33,36.02,25.650000000000002
367,10000,37.92,36.17,25.91
368,10000,38.54,34.67,26.790000000000003
369,10000,39.35,34.98,25.669999999999998
370,10000,38.66,36.33,25.009999999999998
371,10000,38.1,35.52,26.38
372,10000,39.2,34.71,26.090000000000003
373,10000,39.28,35.05,25.669999999999998
374,10000,38.019999999999996,36.720000000000006,25.259999999999998
375,10000,38.18,35.55,26.27
376,10000,38.129999999999995,35.9,25.97
377,10000,38.769999999999996,34.35,26.88
378,10000,40.300000000000004,34.35,25.35
379,10000,39.39,36.22,24.39
380,10000,38.1,36.35,25.55
381,10000,38.51,35.29,26.200000000000003
382,10000,37.97,35.96,26.07
383,10000,38.12,35.06,26.82
384,10000,39.08,34.449999999999996,26.47
385,10000,39.489999999999995,35.24,25.27
386,10000,38.46,35.91,25.629999999999995
387,10000,37.78,36.38,25.840000000000003
388,10000,38.57,34.83,26.6
389,10000,39.64,34.33,26.029999999999998
390,10000,39.300000000000004,35.77,24.93
391,10000,38.47,36.34,25.19
392,10000,37.91,35.86,26.229999999999997
393,10000,39.18,34.55,26.27
394,10000,38.93,35.76,25.31
395,10000,37.93,36.3,25.77
396,10000,38.41,35.21,26.38
397,10000,38.71,35.4,25.89
398,10000,39.01,35.05,25.94
399,10000,38.66,36.02,25.319999999999997
400,10000,37.79,36.28,25.929999999999996
401,10000,38.78,34.52,26.700000000000003
402,10000,39.879999999999995,34.62,25.5
403,10000,38.26,36.58,25.16
404,10000,37.88,35.83,26.290000000000003
405,10000,38.99,34.8,26.21
406,10000,39.44,34.870000000000005,25.69
407,10000,39.379999999999995,35.31,25.31
408,10000,39.129999999999995,35.31,25.56
409,10000,38.65,35.55,25.8
410,10000,38.57,35.57,25.86
411,10000,39.019999999999996,35.17,25.81
412,10000,38.92,35.35,25.729999999999997
413,10000,38.79,35.199999999999996,26.009999999999998
414,10000,39.12,35.04,25.840000000000003
415,10000,38.99,35.339999999999996,25.669999999999998
416,10000,38.64,35.9,25.46
417,10000,37.59,36.38,26.029999999999998
418,10000,37.8,35.8,26.400000000000002
419,10000,39.21,34.54,26.25
420,10000,39.25,35.69,25.06
421,10000,38.75,35.85,25.4
422,10000,38.47,35.78,25.75
423,10000,38.64,35.099999999999994,26.26
424,10000,38.690000000000005,35.25,26.06
425,10000,38.83,35.55,25.619999999999997
426,10000,38.7,35.44,25.86
427,10000,39.08,34.93,25.990000000000002
428,10000,38.98,35.82,25.2
429,10000,38.22,36.059999999999995,25.72
430,10000,38.550000000000004,35.25,26.200000000000003
431,10000,39.12,35.15,25.729999999999997
432,10000,38.84,35.49,25.669999999999998
433,10000,38.46,35.86,25.679999999999996
434,10000,38.98,35.099999999999994,25.919999999999998
435,10000,39.56,34.260000000000005,26.179999999999996
436,10000,39.46,35.3,25.240000000000002
437,10000,38.47,35.92,25.61
438,10000,38.5,35.46,26.040000000000003
439,10000,38.75,35.709999999999994,25.540000000000003
440,10000,38.14,36.199999999999996,25.66
441,10000,37.980000000000004,35.9,26.119999999999997
442,10000,38.93,34.760000000000005,26.31
443,10000,39.32,35.620000000000005,25.06
444,10000,39.23,35.53,25.240000000000002
445,10000,38.58,35.64,25.779999999999998
446,10000,38.58,35.9,25.52
447,10000,38.07,36.26,25.669999999999998
448,10000,38.800000000000004,35.120000000000005,26.08
449,10000,39.129999999999995,35.6,25.27
450,10000,38.06,36.34,25.6
451,10000,37.769999999999996,36.33,25.900000000000002
452,10000,38.29,35.120000000000005,26.590000000000003
453,10000,39.4,34.58,26.02
454,10000,39.15,35.43,25.419999999999998
455,10000,38.95,35.480000000000004,25.569999999999997
456,10000,38.47,36.14,25.39
457,10000,39.1,35.05,25.85
458,10000,39.08,35.13,25.790000000000003
459,10000,39.07,35.79,25.14
460,10000,38.800000000000004,35.53,25.669999999999998
461,10000,38.940000000000005,35.32,25.740000000000002
462,10000,38.67,35.75,25.580000000000002
463,10000,38.31,35.980000000000004,25.71
464,10000,38.550000000000004,35.160000000000004,26.290000000000003
465,10000,38.96,35.010000000000005,26.029999999999998
466,10000,39.34,35.31,25.35
467,10000,38.1,35.980000000000004,25.919999999999998
468,10000,38.269999999999996,35.65,26.08
469,10000,38.54,35.339999999999996,26.119999999999997
470,10000,39.43,34.53,26.040000000000003
471,10000,39.37,35.56,25.069999999999997
472,10000,38.379999999999995,36.21,25.41
473,10000,37.76,35.88,26.36
474,10000,39.12,34.55,26.33
475,10000,39.050000000000004,35.809999999999995,25.14
476,10000,37.980000000000004,36.22,25.8
477,10000,38.93,34.81,26.26
478,10000,39.1,35.25,25.650000000000002
479,10000,38.82,36.03,25.15
480,10000,38.03,36.14,25.83
481,10000,38.11,35.5,26.39
482,10000,39.1,35.07,25.83
483,10000,37.81,36.3,25.89
484,10000,38.129999999999995,35.43,26.44
485,10000,38.800000000000004,34.69,26.51
486,10000,38.68,36.24,25.080000000000002
487,10000,37.980000000000004,36.620000000000005,25.4
488,10000,38.35,35.11,26.540000000000003
489,10000,38.269999999999996,35.510000000000005,26.22
490,10000,38.519999999999996,35.36,26.119999999999997
491,10000,38.33,35.8,25.869999999999997
492,10000,38.43,35.92,25.650000000000002
493,10000,38.36,35.9,25.740000000000002
494,10000,38.81,34.760000000000005,26.43
495,10000,38.84,35.63,25.53
496,10000,38.76,35.61,25.629999999999995
497,10000,38.7,35.27,26.029999999999998
498,10000,39.71,34.74,25.55
499,10000,38.9,36.01,25.09
500,10000,38.93,35.13,25.94
501,10000,38.73,35.980000000000004,25.290000000000003
502,10000,38.190000000000005,36.17,25.64
503,10000,38.48,35.38,26.14
504,10000,38.7,35.66,25.64
505,10000,38.81,35.33,25.86
506,10000,38.84,35.449999999999996,25.71
507,10000,38.93,35.63,25.44
508,10000,37.93,36.09,25.979999999999997
509,10000,38.56,34.98,26.46
510,10000,39.04,35.18,25.779999999999998
511,10000,39.0,35.510000000000005,25.490000000000002
512,10000,38.35,35.43,26.22
513,10000,39.14,35.099999999999994,25.759999999999998
514,10000,38.05,36.65,25.3
515,10000,37.89,35.510000000000005,26.6
516,10000,39.129999999999995,34.910000000000004,25.96
517,10000,39.050000000000004,35.56,25.39
518,10000,38.65,35.18,26.169999999999998
